Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
19 04 2013,"RECORDER REPORT: KSE mid day update - KARACHI: On Friday, until mid day, KSE-100 Index was at 18712.39 with a positive change of 98.03 and volume of 42,727,50",1,1,0.0,0.874,0.126,0.5574,1
21 04 2013,Most kitchen items become dearer - ABDUL RASHEED AZADISLAMABAD: Prices of most of the kitchen items have registered a substantial increase especially veget,1,1,0.0,0.72,0.28,0.7184,1
21 04 2013,Wattoo demands security as per entitlement to former CMs - RECORDER REPORTLAHORE: Mian Manzoor Ahmed Wattoo PPP President of Punjab has said in a statement on Saturday that he wou,1,1,0.0,0.918,0.082,0.34,1
22 04 2013,SC directs FIA to investigate awarding of licenses to 89 CNG stations - ISLAMABAD: The Supreme Court of Pakistan Monday directed the Federal Investigation Agency (FIA) to carry out investigati,1,1,0.0,0.806,0.194,0.7579,1
22 04 2013,Caretaker gov't not to proceed against Musharraf: SC informed - ISLAMABAD: The Supreme Court was informed on Monday that the federation would not commence any legal proceeding pursuant,1,1,0.046,0.834,0.12,0.499,1
20 05 2013,LHC seeks report from OGRA by June 19 - LAHORE: Lahore High Court Chief Justice Umar Ata Bandial Monday sought a report of comparative data of international and,1,1,0.0,0.88,0.12,0.5267,1
20 05 2013,Lahore Stock Exchange up by 27.71 points - LAHORE: Lahore Stock Exchange on Monday witnessed bullish trend by gaining 27.71 points as the LSE-25 Index opened with,1,1,0.0,0.899,0.101,0.4215,1
20 05 2013,Shipping activity at Port Qasim - KARACHI: Two ships carrying edible oil and furnace oil were berthed at Liquid Cargo and FOTCO Terminals respectively on,1,1,0.0,0.906,0.094,0.34,1
08 06 2013,"People to feel positive change: Khaqan Abbasi - ISLAMABAD: Federal Minister for Petroleum and Natural Resources,Shahid Khaqan Abbasi Saturday said with induction of new",1,1,0.0,0.775,0.225,0.7269,1
08 06 2013,SC issues cause list for next week - ISLAMABAD: The Supreme Court on Saturday issued final cause list of the cases to be heard during the week starting from,1,1,0.0,0.882,0.118,0.5574,1
08 06 2013,JI to support every positive step of government - ISLAMABAD: Vice President Jamat-e-Islamai (JI) Mian Muhammad Aslam has said that his party would support every positive,1,1,0.0,0.567,0.433,0.936,1
18 06 2013,LHC seeks report from Religious Affairs Ministry - LAHORE: Lahore High Court Chief Justice Umar Ata Bandial on Tuesday adjourning the hearing of petitions challenging Haj,1,1,0.0,0.821,0.179,0.6124,1
18 06 2013,SC adjourns hearing till Wednesday in load shedding case - ISLAMABAD: The Supreme Court on Wednesday adjourned hearing of a sou-moto case regarding prolonged load-shedding in the,1,1,0.0,0.87,0.13,0.5574,1
18 06 2013,PTI wants coordination from opposition groups in Parliament - LAHORE: Pakistan Tehrik-e-Insaaf (PTI) Vice chairman MNA Shah Mehmood Qureshi on Tuesday said that his party wants to se,1,1,0.0,0.906,0.094,0.4019,1
18 06 2013,Naveed hopes Balochistan govt to overcome issues - ISLAMABAD: Member National Assembly of Pakistan Peoples Party (PPP) Syed Naveed Qamar hoped that the Balochistan governm,1,1,0.0,0.722,0.278,0.7964,1
19 06 2013,"Govt endeavours to provide best facilities to people: Ebad - KARACHI: Sindh Governor, Dr. Ishrat- ul- Ebad Khan, has said that inspite of limited resources the government is endeavo",1,1,0.059,0.81,0.131,0.5106,1
19 06 2013,Lahore Stock Exchange up by 26.17 points - LAHORE: Lahore Stock Exchange on Wednesday witnessed bullish trend by gaining 26.17 points as the LSE-25 Index opened wi,1,1,0.0,0.899,0.101,0.4215,1
19 06 2013,"PIA, Pakistan Railways, Steel Mills would make profitable entities: Ahsan Iqbal - ISLAMABAD: Federal Minister for Planning and Development, Ahsan Iqbal has said that best management would be given to PI",1,1,0.0,0.798,0.202,0.7964,1
24 06 2013,Sharjeel Memon refuses possibility of Swat-style operation in Karachi - KARACHI: Sindh Information Minister Sharjeel Memon has completely refused possibilities of initiating a Swat-style milit,-1,-1,0.102,0.898,0.0,-0.3597,-1
24 06 2013,Sheikh Rasheed urges PM Sharif to focus on people’s problems - ISLAMABAD: Awami Muslim League (AML) head Sheikh Rasheed Ahmed on Monday advised Prime Minister Nawaz Sharif to keep his,-1,-1,0.088,0.912,0.0,-0.4019,-1
24 06 2013,"LHC suspends Dr Naz's suspension order - LAHORE: Lahore High Court Chief Justice Umar Ata Bandial on Monday suspended suspension orders of Ahsan Akhtar Naz, Dire",-1,-1,0.194,0.698,0.108,-0.4019,-1
01 07 2013,"Establishment of peace in KP is top priority: Siraj-ul-Haq - PESHAWAR: Central naib amir Jamaat-e-Islami (JI) and Senior Minister, Khyber Pakhtunkhwa Siraj-ul-Haq has said that the",1,1,0.0,0.813,0.187,0.6486,1
01 07 2013,SC appreciates KESC performance - ISLAMABAD: The Supreme Court on Monday observed that the Karachi Electric Supply Company (KESC) was generating its own e,1,1,0.0,0.743,0.257,0.7845,1
01 07 2013,LHC seeks report against loadshedding - LAHORE: Lahore High Court Chief Justice Umar Ata Bandial on Monday adjourning the hearing of a petition against loadshed,1,1,0.0,0.866,0.134,0.5267,1
01 07 2013,SC directs AG for holding meetings on local bodies' elections - ISLAMABAD: The Supreme Court on Monday directed the Attorney General for Pakistan (AG) Munir A Malik to hold meetings wi,1,1,0.0,0.886,0.114,0.5574,1
15 07 2013,SC for re-filing of application in levy tax case - ISLAMABAD: The Supreme Court on Monday directed the petitioner in the levy tax case to re-file his application after rem,1,1,0.0,0.886,0.114,0.5574,1
15 07 2013,Nandipur case adjourned for three weeks - ISLAMABAD: The Supreme Court on Monday adjourned hearing of Nandipur Power Project case for three weeks while issuing no,1,1,0.076,0.799,0.125,0.34,1
15 07 2013,Concrete measures stressed to resolve issues of CNG sector - ISLAMABAD: The All Pakistan CNG Association (APCNGA) has underlined the need for taking solid measures to resolve issues,1,1,0.075,0.714,0.211,0.5267,1
16 07 2013,Lahore Stock Exchange gains 29.27 points - LAHORE: Lahore Stock Exchange on Tuesday witnessed bullish trend by gaining 29.27 points as LSE-25 Index opened with 495,1,1,0.0,0.816,0.184,0.6369,1
16 07 2013,PSO registers high profits three quarters of financial year 2013 - ISLAMABAD: The public-sector oil marketing company-PSO has registered high profits in each of the three quarters of the,1,1,0.0,0.818,0.182,0.7003,1
16 07 2013,"Etihad Airways offers discounts - KARACHI: Etihad Airways, National airline of the United Arab Emirates, is offering the passengers in Pakistan discounts",1,1,0.0,0.877,0.123,0.4215,1
05 08 2013,"RECORDER REPORT: KSE close of day - KARACHI: On Monday, KSE-100 Index close was at 22701.30 with a negative change of 390.57 and volume of 156,260,490 share",-1,-1,0.128,0.796,0.076,-0.3612,-1
19 08 2013,Asfandyar Wali slams Imran Khan over DI Khan Jail break - PESHAWAR: Awami National Party (ANP) chief Asfandyar Wali Khan severely criticizing the PTI chairman Imran Khan has dema,-1,-1,0.166,0.753,0.081,-0.4215,-1
19 08 2013,"PA adopts resolution, condemns attack on TV channel - LAHORE: Punjab Assembly on Monday through an unanimously adopted resolution vehemently slammed armed attack on a private",-1,-1,0.304,0.641,0.054,-0.8316,-1
21 08 2013,Compensation to be paid to flood-hit people: CM - LAHORE: Punjab Chief Minister Muhammad Shahbaz Sharif has said all-out resources are being utilized for the relief and r,1,1,0.0,0.89,0.11,0.4767,1
21 08 2013,Govt committed to provide relief to flood victims: Ahsan - ISLAMABAD: Minister for Planning and Development Ahsan Iqbal has said that the government is fully committed to provide,1,1,0.071,0.706,0.224,0.6124,1
21 08 2013,SC declares Lakhra lease agreement null and void - ISLAMABAD: The Supreme Court on Wednesday declared the Lakhra Power Plant (LPP) lease agreement null and void directing,1,1,0.0,0.697,0.303,0.875,1
10 09 2013,LSE gains 11.95 points - LAHORE: Lahore Stock Exchange on Tuesday witnessed bullish trend by gaining 11.95 points as the LSE-25 Index opened with,1,1,0.0,0.802,0.198,0.6369,1
10 09 2013,SC adjourns CAA case till Sept 11 - ISLAMABAD: The Supreme Court on Tuesday adjourned hearing in the Civil Aviation Authority (CAA) case regarding the delay,1,1,0.079,0.753,0.168,0.3818,1
10 09 2013,Nisar orders seven days working week in Interior Ministry due to security situation - ISLAMABAD: Federal Minister for Interior Chaudhry Nisar Ali Khan has passed direction that the Ministry of Interior shal,1,1,0.0,0.926,0.074,0.34,1
10 09 2013,"Promotions: KWSB shows reluctance to implement orders - MOHAMMAD BILAL TAHIR, KARACHI: In defiance of the clear instructions of Supreme Court of Pakistan, the management of Kar",1,1,0.076,0.728,0.196,0.5859,1
18 09 2013,FEBFGI bill introduced in NA - ISLAMABAD: Federal Employees Benevolent Fund and Group Insurance Act 1969 the Federal Employees Benevolent fund and Grou,1,1,0.0,0.73,0.27,0.8126,1
18 09 2013,Fazal sees hidden hands behind sabotaging peace talks - DERA ISMAIL KHAN: Chief of Jamiat Ulema-e-Islam (JUI-F) Maulana Fazal ur Rehman has said that some hidden forces are usi,1,1,0.0,0.885,0.115,0.5423,1
09 10 2013,India's Sept trade deficit narrows to 2-1/2 year low - NEW DELHI: India's trade deficit narrowed to a two-and-a-half-year low in September as merchandise exports posted a,-1,-1,0.324,0.676,0.0,-0.8225,-1
09 10 2013,"US shutdown puts freeze on Antarctic research - WELLINGTON: The government shutdown in Washington has forced US bases half a world away in Antarctica into ""caretaker"" m",-1,-1,0.115,0.84,0.046,-0.4215,-1
24 10 2013,"Eurozone business rally falters: PMI survey - BRUSSELS: Eurozone business activity slowed in October, coming off a 27-month high in September to highlight concerns th",1,1,0.0,0.902,0.098,0.34,1
24 10 2013,"Eurozone business activity slows: PMI survey - BRUSSELS: Eurozone business activity slowed in October, coming off a 27-month high in September to highlight concerns th",1,1,0.0,0.902,0.098,0.34,1
24 10 2013,South Korea Finance Minister says rate of won's rise is excessive - SEOUL: South Korean Finance Minister Hyun Oh-seok said on Thursday that the pace of the won's recent appreciation is,1,1,0.0,0.898,0.102,0.5106,1
24 10 2013,"South Korea Q3 GDP growth seen steadfast, hurdles remain - SEOUL: South Korea's growth in the third quarter likely held fast near a 2-year high on stimulus spending and firmer",1,1,0.0,0.776,0.224,0.7351,1
24 10 2013,Equities gain a foothold - RECORDER REPORTKARACHI: Karachi Stock Exchange Wednesday maintained a positive trend and the KSE-100 Index recovered 116,1,1,0.0,0.696,0.304,0.7906,1
25 10 2013,Power supply to remain suspended due to maintenance work - ISLAMABAD: The power supply would remain suspended at various feeders and grid stations due to electricity maintenance a,-1,-1,0.205,0.795,0.0,-0.7351,-1
26 10 2013,India traders 'cheating consumers' with onion prices: minister - NEW DELHI: India's ruling Congress government has accused traders of cheating consumers as it struggles to reduce th,-1,-1,0.351,0.649,0.0,-0.8979,-1
27 10 2013,"Fed to hold its fire this week, wants clearer economic view - WASHINGTON: Federal Reserve officials are unlikely to make any shift to monetary policy this week as they wait for more",-1,-1,0.074,0.926,0.0,-0.34,-1
27 10 2013,"Egypt seeks to lure Gulf investors amid turmoil - CAIRO: Egypt is planning a charm offensive to persuade Gulf Arab entrepreneurs to invest in its economy, battered by pol",-1,-1,0.171,0.745,0.084,-0.4215,-1
29 10 2013,West African oil exports to Asia up in Nov: survey - LONDON: West African crude oil exports to Asia are set to rise to around 2.17 million barrels per day in November. Highe,-1,-1,0.107,0.893,0.0,-0.5719,-1
30 10 2013,New Zealand new housing consents rise in September - WELLINGTON: The number of new dwelling consents approved in New Zealand rose a seasonally adjusted 1.4 percent in Septem,1,1,0.0,0.695,0.305,0.7351,1
30 10 2013,Eurozone economic confidence picks up: official data - BRUSSELS: Economic and business confidence in the 17-nation eurozone picked up further in October but the pace of improv,1,1,0.0,0.848,0.152,0.5106,1
30 10 2013,Taiwan Q3 GDP growth seen staying close to 2.5pc y/y - TAIPEI: Taiwan likely grew at a marginally slower annual pace in the third quarter than in the previous three months as,1,1,0.0,0.918,0.082,0.3818,1
30 10 2013,"Indonesia sees 5.8pc y/y GDP growth in Q3 - JAKARTA: Indonesia's economic growth is likely to be 5.8 percent on an annual basis in the third quarter, Finance Mi",1,1,0.0,0.833,0.167,0.6369,1
04 11 2013,No option except dialogue with Taliban: Gilani - MULTAN: Former Prime Minister and PPP leader Syed Yousuf Raza Gilani said that there was no option except holding dialog,-1,-1,0.15,0.85,0.0,-0.5267,-1
04 11 2013,"Italy forecasts 1.8pc GDP drop in 2013 - MILAN: Italy worsened its official growth forecast for 2013 on Monday, predicting a shrinkage in gross domestic product",-1,-1,0.264,0.651,0.085,-0.6705,-1
04 11 2013,South African economy faces stark problems - JOHANNESBURG: South Africa has made strides in mending its economy since the end of apartheid two decades ago but is lag,-1,-1,0.165,0.835,0.0,-0.6059,-1
29 11 2013,"Brazil budget surplus disappoints, 2013 goal in doubt - BRASILIA: Brazil posted its smallest primary budget surplus for the month of October in more than a decade, casting furt",-1,-1,0.169,0.831,0.0,-0.6249,-1
29 11 2013,"Turkey's Oct trade deficit $7.4bn, in line with forecast - ISTANBUL: Turkey's trade deficit widened to $7.375 billion in October from $5.596 billion in the same period a year",-1,-1,0.178,0.822,0.0,-0.6597,-1
29 11 2013,"110 shopkeepers fined for violating price list - KARACHI: As many as 110 shopkeepers were challaned and a fine of Rs 125,400 were imposed for overcharging in violation o",-1,-1,0.252,0.692,0.057,-0.7351,-1
30 11 2013,"Despite rising demand, Brazil ethanol sector struggles - RIO DE JANEIRO: Hobbled by rising production costs and low prices, Brazil's ethanol sector is in crisis, with many s",-1,-1,0.271,0.686,0.043,-0.809,-1
01 12 2013,"Global recovery still too weak, S.Korea data shows - SEOUL: Exports by industrial powerhouse South Korea showed virtually no growth last month, underlining a still fragile g",-1,-1,0.178,0.732,0.091,-0.3612,-1
01 12 2013,Food Dept forms body to probe missing wheat bags worth Rs50mn - KARACHI: The Food Department has formed an inquiry committee to probe into the reports about the missing of 13306 wheat,-1,-1,0.128,0.816,0.055,-0.3612,-1
04 12 2013,"Upbeat US data points to growth momentum - WASHINGTON: US private-sector hiring rose in November at the fastest clip in a year, opening the door wider for the Fede",1,1,0.0,0.909,0.091,0.3818,1
16 12 2013,"18th amend, provincial autonomy put public sector varsities in financial crises: CM - PESHAWAR: Chief Minister Khyber Pakhtunkhwa Pervez Khattak while expressing concern over financial crisis of the univers",-1,-1,0.132,0.868,0.0,-0.6249,-1
16 12 2013,"378 Pakistanis incarcerated in Afghan jails: Na told - ISLAMABAD: A total of 378 Pakistani prisoners have been incarcerated in various Afghan jails, State Minister for Parliam",-1,-1,0.121,0.879,0.0,-0.5106,-1
16 12 2013,LHC disposes of pleas against illegal exhibition of Indian films - LAHORE: The Lahore High Court on Monday disposed of petitions challenging illegal exhibition of Indian films in Pakistan,-1,-1,0.213,0.74,0.047,-0.765,-1
16 12 2013,"Senate condemns rape incident, demands exemplary punishment to culprits - ISLAMABAD: The Senate on Monday unanimously adopted a resolution strongly condemning the recent rape incident and demand",-1,-1,0.452,0.494,0.055,-0.946,-1
16 12 2013,"Eurozone business activity rises but France lags: PMI data - BRUSSELS: Business activity in the 17-nation eurozone ticked up in December, but the recovery is uneven and weak French",-1,-1,0.302,0.698,0.0,-0.8957,-1
16 12 2013,146 shopkeepers fined for violating official price list - KARACHI: Teams comprising assistant commissioners and district magistrates in their campaign against profiteers on Sunda,-1,-1,0.135,0.808,0.058,-0.4588,-1
16 12 2013,PML-N rejects Balochistan LB Polls' results - QUETTA: Pakistan Muslim League-N Balochistan chapter has rejected the results of Balochistan Local Bodies polls issued b,-1,-1,0.245,0.755,0.0,-0.7579,-1
16 12 2013,Australia set to abandon surplus target as deficit balloons - SYDNEY: Australian Prime Minister Tony Abbott looks set to abandon an election promise to return the budget to surplus w,-1,-1,0.244,0.69,0.066,-0.7351,-1
20 12 2013,"Power shut down in Peshawar - PESHAWAR: Due to necessary maintenance work, Power supply will remain suspended from 132 KV Peshawar Fort Grid station o",-1,-1,0.124,0.876,0.0,-0.4767,-1
20 12 2013,"Iraq's oil exports slip in December, 2014 target looks tough - LONDON: Iraq's oil exports have fallen so far in December, capping what has been a disappointing year and highlighti",-1,-1,0.224,0.776,0.0,-0.7351,-1
20 12 2013,"Karachi commissioner orders arrest of those challenging government writ - KARACHI: Commissioner of Karachi, Shoaib Ahmad Siddiqui has ordered immediate arrest of those challenging the government",-1,-1,0.166,0.724,0.11,-0.3818,-1
21 12 2013,"Bhittai's message of sufism can help eliminate terrorism from world: CM - HYDERABAD: Sindh Chief Minister, Syed Qaim Ali Shah has said that the message of Sufism given by poet Shah Abdul Latif B",-1,-1,0.123,0.804,0.072,-0.4404,-1
26 12 2013,SC seeks final proposal from pharma owner for compensation - LAHORE: A three-member bench of the Supreme Court Thursday sought final proposal from Efroze Pharma Owner for compensati,1,1,0.0,0.874,0.126,0.5574,1
26 12 2013,"Ambassador-designate to USA calls on the President - ISLAMABAD: Pakistan's Ambassador-designate to the United States of America Jalil Abbas Jilani, called on President M",1,1,0.0,0.882,0.118,0.4215,1
02 01 2014,LPG be promoted for providing relief to consumers: Association - ISLAMABAD: The LPG Distributors Association has underlined the need for the government to take solid measures for promot,1,1,0.0,0.762,0.238,0.7579,1
02 01 2014,Eurozone manufacturing posts highest growth in 31 months - BRUSSELS: Business activity in the eurozone posted its strongest growth in 31 months in a fresh sign of recovery though,1,1,0.0,0.689,0.311,0.8555,1
02 01 2014,Sindh government working for women welfare: Naz Bozdar - SUKKUR: Pakistan People's Party MPA Rai Naz Bozdar here Thursday said that Sindh government is taking revolutionary,1,1,0.0,0.899,0.101,0.4019,1
02 01 2014,"Indonesian trade recovers as 2013 inflation hits 8.38pc - JAKARTA: Indonesia posted a robust trade surplus in November, data showed Thursday, in a sign of recovery in Southeast A",1,1,0.0,0.909,0.091,0.34,1
28 01 2014,Dy Governor SBP for strengthening Corporate Governance in Microfinance - KARACHI: Microfinance sector has witnessed remarkable growth in the past few years which can be attributed to the vision,1,1,0.0,0.678,0.322,0.886,1
28 01 2014,"LSE gains 28.48 points - LAHORE: Lahore Stock Exchange here Tuesday witnessed bullish trend by gaining 28.48 points, as the LSE Index-25 opened w",1,1,0.0,0.794,0.206,0.6369,1
28 01 2014,National Security Policy to be presented before cabinet: Mushahid - ISLAMABAD: Central Secretary Information Pakistan Muslim League (Nawaz) Senator Mushahid Ullah Khan said on Tuesday that,1,1,0.0,0.909,0.091,0.34,1
28 01 2014,Government making all out efforts to restore peace in Karachi - KARACHI: Sindh Chief Minister Syed Qaim Ali Shah has said that Karachi has witnessed decline in major crimes such as kid,1,1,0.0,0.836,0.164,0.6908,1
28 01 2014,3G services to help boost ARPU in coming years - ISLAMABAD: Pakistan Telecommunication Authority (PTA) has anticipated that with launch of next generation wireless netwo,1,1,0.0,0.758,0.242,0.6908,1
28 01 2014,"Taiwan posts robust Q4 growth - TAIPEI: Taiwan's economy grew a better-than-expected 2.92 percent on-year in the fourth quarter, preliminary governm",1,1,0.0,0.773,0.227,0.6124,1
03 02 2014,"US manufacturing growth slows sharply in January: ISM - WASHINGTON: US manufacturing sector growth slowed sharply in January, with new orders nearly stalling, according to the",1,1,0.062,0.759,0.179,0.5267,1
03 02 2014,"LSE gains 68.99 points - LAHORE: Lahore Stock Exchange (LSE) here Monday witnessed bullish trend by gaining 68.99 points, as the LSE Index-25 ope",1,1,0.0,0.802,0.198,0.6369,1
03 02 2014,"LHC grants bail to SNGPL officer in gas theft cases - LAHORE: A division bench of the Lahore High Court on Monday granted bail to a senior engineer, Sui Northern Gas Pipeline",1,1,0.0,0.874,0.126,0.4404,1
03 02 2014,PYF provides unique opportunities to youth: Ahsan - SIALKOT: Federal Minister for Planning and Development Ahsan Iqbal said on Monday the Punjab Youth Festival had provided,1,1,0.0,0.799,0.201,0.7003,1
03 02 2014,"Eurozone manufacturing hits 32-month high: Markit - BRUSSELS: Eurozone manufacturing activity hit a 32-month high in January, driven by economic powerhouse Germany and help",1,1,0.0,0.886,0.114,0.4019,1
03 02 2014,"Zuma sees $2.6trn African free-trade area - JOHANNESBURG: South African President Jacob Zuma on Monday lent his support to a pan-Africa free-trade area, which he sa",1,1,0.0,0.895,0.105,0.4019,1
03 02 2014,Shaban vows to set up new industrial zone in Capital for rapid industrial growth - ISLAMABAD: President Islamabad Chambers of Commerce (ICC) Shaban Khalid has said that setting up a new industrial zone i,1,1,0.0,0.92,0.08,0.3818,1
12 02 2014,"LSE gains 45.06 points - LAHORE: Lahore Stock Exchange here Wednesday bullish trend by gaining 45.06 points, as the LSE Index-25 opened with 5046",1,1,0.0,0.802,0.198,0.6369,1
12 02 2014,Eurozone industrial output falls in December: Eurostat - BRUSSELS: Eurozone industrial output fell more than expected in December after a sharp upturn in November had encouraged,1,1,0.0,0.902,0.098,0.3612,1
12 02 2014,"Germany optimistic on growth this year and next year - BERLIN: The German government expects growth of Europe's top economy to pick up sharply this year and next, driven l",1,1,0.0,0.721,0.279,0.8074,1
12 02 2014,LPG price increased by Rs5 per kg - ISLAMABAD: The Liquified Petroleum Gas(LPG) marketing companies on Wednesday increased price by Rs5 per kg with immediat,1,1,0.0,0.84,0.16,0.4939,1
25 02 2014,Senate session adjourns amid opposition boycott - ISLAMABAD: The Opposition in the Upper House on Tuesday protested over the alleged interference of the federal governmen,-1,-1,0.147,0.853,0.0,-0.4215,-1
25 02 2014,Italy's retail sales suffer worst ever fall - ROME: Retail sales in Italy fell by a record 2.1 percent in 2013 as the country struggled to pull out of a deep recessio,-1,-1,0.278,0.722,0.0,-0.875,-1
25 02 2014,"President to address currency crisis in 'star economy' Ghana - ACCRA: The president of resource-rich Ghana, seen as a beacon of democracy in a turbulent region, was to unveil economic",-1,-1,0.136,0.864,0.0,-0.6249,-1
06 03 2014,"Peru revises up 2013 growth under new official measurement - LIMA: Peru's economy grew 5.3 percent last year, above the 5 percent figure previously released by the government, s",1,1,0.0,0.906,0.094,0.3818,1
06 03 2014,RECORDER REPORT: KSE close of day - KARACHI: Karachi Stock Exchange (KSE) 100 index closed higher on Thursday having 26842.53 shares with a positive change,1,1,0.0,0.784,0.216,0.7003,1
06 03 2014,China to invest more in Pak energy sector: Shahbaz Sharif - ISLAMABAD: Punjab Chief Minister Shahbaz Sharif has said that China would further invest in the energy sector of Pakista,1,1,0.0,0.851,0.149,0.5758,1
06 03 2014,Nawaz links economic progress with thriving industry - LAHORE: Prime Minister Muhammad Nawaz Sharif Thursday said that Pakistan's progress is linked with thriving industry,1,1,0.0,0.789,0.211,0.6808,1
06 03 2014,"Australia economy on a rising tide as spending, exports swell - SYDNEY: Australian retail sales surged by the most in almost a year in January and exports jumped to record highs, clear",1,1,0.0,0.915,0.085,0.3818,1
06 03 2014,"Thai consumer confidence slides to 12-year low on prolonged unrest - BANGKOK: Thailand's consumer confidence tumbled to a 12-year low in February, a survey showed on Thursday, as politi",1,1,0.128,0.671,0.201,0.5267,1
06 03 2014,China's 7.5 percent GDP growth target is flexible: finance minister - BEIJING: It is all right for China to slightly miss the government's 7.5 percent economic growth target this year as,1,1,0.038,0.756,0.206,0.6997,1
10 03 2014,World Bank ready to provide $3 billion aid to Ukraine - WASHINGTON: The World Bank said Monday it was prepared to offer $3 billion in new aid to Ukraine this year to help it ad,1,1,0.0,0.814,0.186,0.7269,1
10 03 2014,"LSE gains 21.33 points - LAHORE: Lahore Stock Exchange here Monday witnessed bullish trend by gaining 21.33 points, as the LSE Index-25 opened wi",1,1,0.0,0.802,0.198,0.6369,1
10 03 2014,Poultry prices increase in twin cities - ISLAMABAD: The prices of poultry products have increased in the twin cities of Rawalpindi and Islamabad and the price of,1,1,0.0,0.845,0.155,0.5267,1
10 03 2014,"EU edges towards renewable energy targets - BRUSSELS: The European Union is making steady progress towards its 2020 renewable energy target, a key effort in curbing",1,1,0.0,0.75,0.25,0.7184,1
10 03 2014,"Sri Lanka's interest rates to remain steady in next 2-3 months - COLOMBO: Sri Lanka's key interest rates will remain steady for the next 2-3 months, Treasury Secretary P.B. Jayasund",1,1,0.0,0.769,0.231,0.7783,1
12 03 2014,"Govt to ensure life, property safety in city: Memon - KARACHI: Sindh Information Minister Sharjeel Inam Memon on Wednesday said that Sindh Government will not leave the peopl",1,1,0.0,0.786,0.214,0.6755,1
12 03 2014,"LSE gains 1.77 points - LAHORE: Lahore Stock Exchange here Wednesday witnessed bullish trend by gaining 1.77 points, as the LSE Index-25 opened",1,1,0.0,0.794,0.206,0.6369,1
12 03 2014,Railways to float tenders for 32 locomotives - ISLAMABAD: Pakistan Railways will float an international tender for the procurement of 32 locomotives to improve its ser,1,1,0.0,0.836,0.164,0.5423,1
12 03 2014,Rouhani arrives in longtime Gulf Arab ally Oman - MUSCAT: Iranian President Hassan Rouhani arrived in Muscat Wednesday for a visit dedicated to talks with leaders of the,1,1,0.0,0.893,0.107,0.4588,1
12 03 2014,"Japan firms raise wages as consumers prepare for tax hike - TOKYO: Major Japanese firms, including Toyota and Panasonic, on Wednesday said they would boost employees' wages for",1,1,0.0,0.906,0.094,0.4019,1
12 03 2014,"South Korea job creation quickens in February - SEOUL: The number of employed South Koreans rose sharply in February from a year ago, even as the national jobless rate",1,1,0.0,0.88,0.12,0.34,1
19 03 2014,"Peru central bank sees Feb, March growth outpacing Jan - LIMA: Peru's economy in February and March will ""definitely"" grow at a faster pace than January's 4.23 percent y",1,1,0.0,0.906,0.094,0.3818,1
