Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
16 07 2013,PSO registers high profits three quarters of financial year 2013 - ISLAMABAD: The public-sector oil marketing company-PSO has registered high profits in each of the three quarters of the,1,1,0.0,0.818,0.182,0.7003,1
16 07 2013,"Etihad Airways offers discounts - KARACHI: Etihad Airways, National airline of the United Arab Emirates, is offering the passengers in Pakistan discounts",1,1,0.0,0.877,0.123,0.4215,1
17 07 2013,"PTCL posts strong financial results - KARACHI: Pakistan Telecommunication Company Limited (PTCL), the largest ICT services provider in the country, has posted",1,1,0.079,0.785,0.136,0.34,1
17 07 2013,"Service quality in four passenger trains being improved - ISLAMABAD: Service quality in four passenger trains will be improved to attract and facilitate passengers, besides makin",1,1,0.0,0.717,0.283,0.8271,1
06 08 2013,ISE-10 index witnessed bearish trend - ISLAMABAD: The Islamabad Stock Exchange witnessed bearish trend on Tuesday as the ISE-10 index was decreased by 70.17 po,-1,-1,0.135,0.865,0.0,-0.5574,-1
22 08 2013,"Govt providing better health, education facilities: CM - SUKKUR: The Chief Minister (CM) Sindh, Syed Qaim Ali Shah has said that government is taking measures to improve life of",1,1,0.0,0.818,0.182,0.7003,1
22 08 2013,"Good relations with India vital for peace, stability in the region - ISLAMABAD: International Relation Expert Dr. Nazir Hussian said that good relations with India is vital for peace and st",1,1,0.0,0.583,0.417,0.9451,1
11 09 2013,Minister urges media to play proactive role - ISLAMABAD: Minister for Information and Broadcasting Pervez Rashid Wednesday urged that media play a proactive role to p,1,1,0.0,0.646,0.354,0.8555,1
19 09 2013,"SC resumes hearing of case on implementation of its verdict on law, order - KARACHI: A 5-member bench of the Supreme Court headed by Chief Justice Iftikhar Muhammad Chaudhry resumed the hearing of",1,1,0.0,0.765,0.235,0.8225,1
19 09 2013,UK envoy calls on Chaudhry Nisar - ISLAMABAD: The High Commissioner of United Kingdom Adam Thomson Thursday called on Minister for Interior and Narcotics C,1,1,0.0,0.887,0.113,0.4215,1
19 09 2013,SC issues notices to 22 drug companies for increasing prices - ISLAMABAD: The Supreme Court on Thursday issued notices to 22 drug companies over increasing prices of life saving drugs,1,1,0.0,0.886,0.114,0.5574,1
19 09 2013,"Power shortfall eases to 2,800 MW - ISLAMABAD: The power shortfall in the country eased to 2,800 MW on Thursday as the total generation was recorded as 12,9",1,1,0.0,0.847,0.153,0.5423,1
19 09 2013,APC decisions should be implemented in letter and spirit: Amin Fahim - ISLAMABAD: The consensus decisions of All Parties Conference (APC) should be implemented in its letter and spirit as suc,1,1,0.0,0.816,0.184,0.6249,1
10 10 2013,Greek unemployment rate edges up to 27.6pc: official data - ATHENS: The Greek unemployment rate ticked up in July to 27.6 percent from 25 percent a year before with young people st,-1,-1,0.242,0.758,0.0,-0.8225,-1
10 10 2013,"Altaf condemns blast in old Anarkali market - KARACHI: Muttahida Qaumi Movement (MQM), chief Altaf Hussain has expressed condemnation over the blast at the old Anarka",-1,-1,0.236,0.764,0.0,-0.7964,-1
10 10 2013,No pressure to be tolerated during Karachi operation: Wasan - KARACHI: Ongoing targeted operation in being carried out in Karachi against the criminal elements aimed at providing pea,-1,-1,0.245,0.755,0.0,-0.7783,-1
10 10 2013,"Australian unemployment eases to 5.6pc - SYDNEY: Australia's unemployment rate eased to 5.6 percent in September, retreating from a four-year high with the c",-1,-1,0.212,0.623,0.165,-0.3182,-1
25 10 2013,Russia reports disappointing 1.2pc quarterly growth - MOSCOW: Russia's third-quarter growth rate fell well below expectations on Friday in a fresh blow to government hope,1,1,0.098,0.52,0.382,0.8074,1
25 10 2013,Italian retail sales stable in August: official data - ROME: Retail sales in Italy were stable in August compared to the July level and rose 0.2 percent on a 12-month comparis,1,1,0.0,0.86,0.14,0.5267,1
25 10 2013,"German business confidence takes surprise dip: Ifo - BERLIN: German business confidence fell in October after rising for five months, amid worries over the strength of the r",1,1,0.078,0.588,0.333,0.8442,1
26 10 2013,"Ecuador sees GDP growth of 4.5pc to 5.1pc next year - QUITO: Ecuador's economic growth will accelerate to as high as 5.1 percent next year, despite less revenue from the",1,1,0.0,0.839,0.161,0.6369,1
27 10 2013,"Algeria economic reforms on hold until 2014 election: advisor - ALGIERS: Algeria is unlikely to see substantial economic reform before the country holds elections in April 2014, a top",1,1,0.0,0.874,0.126,0.3818,1
27 10 2013,"SC bench to resume hearing of law, order case on Monday - KARACHI: A larger bench of the Supreme Court headed by Chief Justice Iftikhar Muhammad Chaudhry will resume the proceedi",1,1,0.0,0.794,0.206,0.7906,1
28 10 2013,"China firm to set up 10 coal-fired power plants costing US$ 7.2 bln - KARACHI: A Chinese world famed company, Chinese Power International Holding will set up ten coal fired power plants of 6",-1,-1,0.107,0.893,0.0,-0.5574,-1
28 10 2013,LHC seeks arguments on PCB elections petition - LAHORE: The Lahore High Court Monday sought arguments on maintainability of the petition seeking directions to restrain,-1,-1,0.197,0.803,0.0,-0.6597,-1
28 10 2013,LHC issues arrest warrants for two Lesco officers - LAHORE: The Lahore High Court Monday issued bailable arrest warrants of Chief Executive and Director Customer Services o,-1,-1,0.173,0.827,0.0,-0.5859,-1
28 10 2013,Stock market closes lower - KARACHI: The Karachi Stock market bench mark-100 index closed lower by 92.39 points or 0.41 percent on Monday.KSE-100 in,-1,-1,0.173,0.827,0.0,-0.5267,-1
30 10 2013,"Indonesians stage nationwide strike over pay - JAKARTA: Workers across Indonesia begin a two-day strike Thursday to demand higher salaries, the latest industrial actio",-1,-1,0.247,0.753,0.0,-0.4404,-1
30 10 2013,"SC bench orders federal bodies to jointly control arms', drugs' smuggling - KARACHI: The larger bench of the apex court has ordered the federal organisations and agencies to hold a joint meeting a",-1,-1,0.097,0.903,0.0,-0.4767,-1
