22OCT2020,FML,0829,Feroze	1888XD,103,104,102,102.44,59000
22OCT2020,PRWM,0831,Prosperity	Weav,36.50,37,36.50,37,1000
22OCT2020,SERF,0831,Service	Fabrics,13.75,14.41,13.71,14.41,625500
22OCT2020,STJT,0831,Shahtaj	TextileXD,99,104.49,99,104.49,1000
22OCT2020,YOUW,0831,Yousuf	Weaving,3.70,3.95,3.70,3.71,286500
22OCT2020,ZTL,0831,Zephyr	Textile,8.20,8.40,7.70,8.22,37500
22OCT2020,ADMM,0829,Artistic	DenimXD,92.80,92.80,92.80,92.80,3500
22OCT2020,BHAT,0829,Bhanero	Tex.,925,925,925,925,100
22OCT2020,CRTM,0829,Crescent	Tex.,19.57,20,19.50,19.97,136000
22OCT2020,NCL,0829,Nishat	(Chun.)XD,38.45,38.50,37.60,37.64,130000
22OCT2020,DLL,0829,Dawood	Law,189.99,189.99,189.99,190.48,100
22OCT2020,REWM,0829,Reliance	Weaving,29,29,28.80,28.80,11000
22OCT2020,GATM,0829,Gul	Ahmed,38.70,39.39,38.50,38.79,369500
22OCT2020,ILP,0829,Interloop	Ltd.XD,64.01,65.30,63.80,63.99,814000
22OCT2020,ANTM,0829,AN	Textile	Mill,11.30,11.30,10,11,25000
22OCT2020,JUBS,0829,Jubilee	Spinning,4.42,4.42,4.42,4.42,1000
22OCT2020,KML,0829,Kohinoor	Mills,35.10,36,35.10,35.85,1500
22OCT2020,KOIL,0829,Kohinoor	Ind.XD,9.35,9.94,9.30,9.40,399500
22OCT2020,KTML,0829,Kohinoor	TextileXD,57,59,56.05,58,66500
22OCT2020,ANL,0829,Azgard	Nine,22.65,23.15,22,22.91,3030500
22OCT2020,MTIL,0829,Mian	Textile,11.50,11.35,10.46,10.92,29000
22OCT2020,NML,0829,Nishat	Mills	LtdXD,99.86,101,96.03,96.79,1581000
22OCT2020,REDCO,0829,Redco	Textile,6.50,6.50,6.11,6.11,23500
22OCT2020,ZAHID,0829,ZahidJee	Tex.,19.90,21.99,19.90,21.99,1500
22OCT2020,MSOT,0829,Masood	Textile,61.43,61.43,56,57.99,12500
22OCT2020,BNWM,0835,Bannu	Woollen,39.50,40.74,39.50,40.31,40000
22OCT2020,BNL,0835,Bunnys	Limited,41.50,41.65,40.15,40.20,11500
22OCT2020,AGL,0805,Agritech	Limited,5.10,5.15,4.78,4.82,1108000
22OCT2020,GATI,0827,Gatron	Ind.,611.01,700,611.01,700,150
22OCT2020,PSYL,0827,Pak	Synthetics,15.95,15.95,15.95,15.95,1000
22OCT2020,TRPOL,0827,Tri-Star	Poly,8.90,9,8.58,8.76,597500
22OCT2020,THALL,0802,Thal	LimitedXD,417.11,419,416,416,6100
22OCT2020,ADAMS,0826,Adam	Sugar,22.50,22.50,22.50,22.50,1000
22OCT2020,AABS,0826,AL-Abbas	Sugar,325,352.50,320.01,334.70,8900
22OCT2020,AGSML,0826,Abdullah	Shah,3,3.05,2.90,2.91,51500
22OCT2020,ALNRS,0826,AL-Noor	Sugar,47,47,43.43,43.57,3000
22OCT2020,CHAS,0826,Chashma	Sugar,94.90,95,94.10,94.10,2500
22OCT2020,DWSM,0826,Dewan	Sugar,3.30,3.30,3.15,3.15,2500
22OCT2020,FCEPL,0810,Frieslandcampina,72,73,69.85,70.08,207500
22OCT2020,FRSM,0826,Faran	Sugar,47.21,50.49,47.21,50.49,1000
22OCT2020,HABSM,0826,Habib	Sugar,35.51,36.01,35.51,36.01,2500
22OCT2020,HRPL,0826,Habib	Rice	ProdXD,33,33.30,32.40,33.30,18000
22OCT2020,HSM,0826,Husein	Sugar,18.70,19.20,18.51,18.51,11500
22OCT2020,JDWS,0826,J.D.W.Sugar,231.99,237.98,230,237.98,5700
22OCT2020,KPUS,0826,Khairpur	Sugar,55.05,63.55,55.05,62.95,3000
22OCT2020,JSML,0826,Jauharabad	Sug,23,23.10,23,23.10,29000
22OCT2020,MRNS,0826,Mehran	Sugar,68.60,68.60,67.50,68.05,3000
22OCT2020,MIRKS,0826,Mirpurkhas	Sugar,93.50,93.50,93.50,93.50,500
22OCT2020,NONS,0826,Noon	Sugar,75,76,71.01,71.01,12000
22OCT2020,SKRS,0826,Sakrand	Sugar,9.27,9.50,9.10,9.13,138500
22OCT2020,SHJS,0826,Shahtaj	Sugar,75,75,72.60,74,900
22OCT2020,SHSML,0826,Shahmurad	Sugar,104,104,100.05,102.60,13500
22OCT2020,SML,0826,Shakarganj	Limited,41.26,47.13,41,45.43,46500
22OCT2020,TSML,0826,Tandlianwala	Sugar,0,316.0525,316.0525,316.0525,0
22OCT2020,TICL,0826,Thal	Ind.Corp.,255,275,255,275,800
22OCT2020,ACPL,0804,Attock	CementXD,151,155,148,150.13,114000
22OCT2020,BWCL,0804,Bestway	Cement,155,155.55,154,154,1100
22OCT2020,CHCC,0804,Cherat	Cement,127.99,132,126,129.56,2167500
22OCT2020,DNCC,0804,Dandot	Cement,9,9.29,9,9.19,2000
22OCT2020,DGKC,0804,D.G.K.Cement,110.50,113.95,110,110.72,7045591
22OCT2020,POWER,0804,Power	Cement,9.45,9.59,9.20,9.24,6233000
22OCT2020,POWERPS,0804,Power	Cem(Pref),10.30,10.30,10.30,10.30,28500
22OCT2020,FCCL,0804,Fauji	Cement,20.05,20.45,19.92,20.03,4343000
22OCT2020,FECTC,0804,Fecto	Cement,31.64,33.43,31.64,33.43,94000
22OCT2020,FLYNG,0804,Flying	Cement,10.40,10.50,10,10.10,183000
22OCT2020,GWLC,0804,Gharibwal	Cement,26.45,27.75,26.40,26.76,486500
22OCT2020,JVDC,0804,Javedan	Corp.,23.75,24,23.03,23.03,12500
22OCT2020,KOHC,0804,Kohat	Cement,195,200.99,194,197.50,43900
22OCT2020,LUCK,0804,Lucky	Cement,657.97,661,648.02,650.42,455552
22OCT2020,MLCF,0804,Maple	Leaf,39.55,41.55,39.55,40.74,44538338
22OCT2020,DCL,0804,Dewan	Cement,10.85,11.22,10.65,10.73,4149000
22OCT2020,PIOC,0804,Pioneer	Cement,95,98.90,94.60,96.39,2387500
22OCT2020,SMCPL,0804,Safe	Mix	Con.Lt,7.25,7.55,7.11,7.16,141500
22OCT2020,THCCL,0804,Thatta	Cement,23.44,24.01,23.01,23.18,1170000
22OCT2020,KHTC,0832,Khyber	Tobacco,337,343.49,333.99,343.49,14100
22OCT2020,ATRL,0825,Attock	Refinery,150.50,153.50,145.50,148.41,2455500
22OCT2020,BYCO,0825,Byco	Petroleum,10.23,10.23,9.80,9.87,4643500
22OCT2020,NRL,0825,National	Refinery,182.40,184.50,176.02,177.60,1268400
22OCT2020,PRL,0825,Pak	Refinery,18.70,18.99,17.66,17.91,14810000
22OCT2020,EPQL,0824,Engro	PowergenXD,20.10,20.55,20.10,20.33,178000
22OCT2020,AEL,0824,Arshad	Energy,14.60,15.73,14.60,15.73,36500
22OCT2020,HUBC,0824,Hub	Power	Co.,81.35,81.89,77.60,78.13,2324471
22OCT2020,KEL,0824,K-Electric	Ltd.,3.99,4.09,3.84,3.90,5119500
22OCT2020,KOHP,0824,Kohinoor	Power,2.70,2.70,2.70,2.70,500
22OCT2020,LPL,0824,Lalpir	Power,12.72,12.93,12.71,12.79,159500
22OCT2020,KAPCO,0824,Kot	Addu	Power,28.45,28.65,27.40,27.63,5258000
22OCT2020,NCPL,0824,Nishat	ChunPow,14,14,13.80,13.89,67000
22OCT2020,NPL,0824,Nishat	Power,23.75,23.89,23,23,36000
