18MAR2021|TPLI|0812|TPL	Insurance|33.90|33.90|33.90|33.90|500|32|||
18MAR2021|UNIC|0812|United	Insurance|8|8.10|7.76|7.79|30000|8.08|||
18MAR2021|UVIC|0812|Universal	Ins.|4.69|4.69|4.69|4.69|500|4.69|||
18MAR2021|BILF|0830|Bilal	Fibres|1.90|2.05|1.59|1.80|156000|1.89|||
18MAR2021|CWSM|0830|Chakwal	Spinning|2.60|2.65|2.60|2.60|3500|2.64|||
18MAR2021|HIRAT|0830|Hira	Textile|3.97|3.97|3.70|3.74|134500|3.81|||
18MAR2021|DFSM|0830|Dewan	Farooque	Sp.|2.60|2.60|2.35|2.50|118500|2.51|||
18MAR2021|DINT|0830|Din	Textile|55.69|55.69|55.69|54.75|500|54.75|||
18MAR2021|DSIL|0830|D.S.	Ind.	Ltd.|3.36|3.45|3.30|3.40|370500|3.53|||
18MAR2021|FZCM|0830|Fazal	Cloth|205|205|205|207.02|100|207.02|||
18MAR2021|IDYM|0830|Indus	Dyeing|925|939.95|895.02|902.58|4750|915.50|||
18MAR2021|JATM|0830|J.A.Textile|8.52|8.89|8.52|8.52|9500|8.81|||
18MAR2021|JKSM|0830|J.K.Spinning|42.10|42.10|42.10|42.10|500|41.50|||
18MAR2021|JDMT|0830|Janana	D	Mal|99.50|101.20|94|96|4000|98.50|||
18MAR2021|KOSM|0830|Kohinoor	Spining|3.50|3.59|3.10|3.29|375500|3.52|||
18MAR2021|MQTM|0830|Maqbool	Textile|25.91|25.91|25.91|25.91|1000|28|||
18MAR2021|NCML|0830|Nazir	Cotton	Mills|4.51|4.95|4.15|4.95|11000|5.03|||
18MAR2021|PRET|0830|Premium	Tex.|350|350|350|350|500|350|||
18MAR2021|RAVT|0830|Ravi	Textile|16.25|17|15.90|16.50|26000|16.17|||
18MAR2021|SAIF|0830|Saif	Textile|14.53|16|14.53|15.30|27500|15|||
18MAR2021|SALT|0830|Salfi	Textile|0|0|0|288.6667|0|285|||
18MAR2021|SNAI|0830|Sana	Ind|51.51|52.01|49.94|49.94|16500|53.98|||
18MAR2021|SSML|0830|Saritow	Spinning|11.76|11.76|11.75|11.75|2000|12.35|||
18MAR2021|SHDT|0830|Shadab	Textile|29|29.50|29|29.50|8500|30.25|||
18MAR2021|SZTM|0830|Shahzad	Tex.|35|35|35|35|500|35|||
18MAR2021|SUTM|0830|Sunrays	Textile|999|999|866.49|934|3300|936.74|||
18MAR2021|UNITY|0810|Unity	Foods	Ltd|31.20|31.20|28.75|29.43|19295882|30.93|||
18MAR2021|TATM|0830|Tata	Textile|67.95|71.59|66|68.95|35000|66.60|||
18MAR2021|FML|0829|Feroze	1888XD|110|110|105|105.12|77500|109.65|||
18MAR2021|SMTM|0831|Samin	Textile|6.80|7.80|6.80|7.57|156500|7.07|||
18MAR2021|SERF|0831|Service	Fabrics|10.01|10.15|9.22|9.33|197500|10.22|||
18MAR2021|STJT|0831|Shahtaj	Textile|99.25|99.25|99.22|99.22|200|99.22|||
18MAR2021|YOUW|0831|Yousuf	Weaving|3.83|3.94|3.70|3.72|153000|3.90|||
18MAR2021|ZTL|0831|Zephyr	Textile|11.61|12|11.60|12|2500|12|||
18MAR2021|ADMM|0829|Artistic	Denim|107.77|112.34|104.51|107.92|96000|104.51|||
18MAR2021|CRTM|0829|Crescent	Tex.|35|35.05|34.06|34.30|230500|34.90|||
18MAR2021|NCL|0829|Nishat	(Chun.)|48|48|46.03|46.25|293000|47.52|||
18MAR2021|GFIL|0829|Ghazi	Fabrics|6.66|6.71|6.66|6.71|3500|6.78|||
18MAR2021|GATM|0829|Gul	Ahmed|50.50|51.80|47.60|48.19|2358500|50|||
18MAR2021|ILP|0829|Interloop	Ltd.|73.44|73.48|71|71.22|377500|72.88|||
18MAR2021|JUBS|0829|Jubilee	Spinning|4.31|4.45|4.31|4.45|4000|4.80|||
18MAR2021|KML|0829|Kohinoor	Mills|31.15|31.15|30|30|5500|31.50|||
18MAR2021|KOIL|0829|Kohinoor	Ind.|7.66|7.66|7.66|7.66|500|7.86|||
18MAR2021|BTL|0829|Blessed	Tex.|349.97|350|330|343.33|900|330|||
18MAR2021|KTML|0829|Kohinoor	TextileXD|68.45|68.99|66|66.48|223500|68.50|||
18MAR2021|ANL|0829|Azgard	Nine|33|33.29|30.66|32.51|20486000|33.03|||
18MAR2021|MTIL|0829|Mian	Textile|17.25|17.25|15.26|15.51|12500|16.49|||
18MAR2021|NML|0829|Nishat	Mills	Ltd|104|104.70|98.11|100.37|1168500|103.92|||
18MAR2021|REDCO|0829|Redco	Textile|7.21|7.45|7.21|7.23|11500|7.38|||
18MAR2021|SFL|0829|Sapphire	Fiber|782|890|782|847.32|350|845|||
18MAR2021|SURC|0829|Suraj	Cotton|236|236|236|244.33|100|244.33|||
18MAR2021|ZAHID|0829|ZahidJee	Tex.|19.56|19.56|19.56|19.56|500|19.56|||
18MAR2021|MSOT|0829|Masood	Textile|53.01|53.01|51|51|4500|55|||
18MAR2021|QUET|0829|Quetta	Textile|8.16|9.35|8.05|8.78|12500|9.05|||
18MAR2021|SAPT|0829|Sapphire	Tex.|882|882|882|882|40|948|||
18MAR2021|BNWM|0835|Bannu	Woollen|50.44|51|47.75|48.91|42000|50.07|||
18MAR2021|BNL|0810|Bunnys	LimitedXB|37|37.80|35.60|35.88|150500|36.74|||
18MAR2021|AGL|0805|Agritech	Limited|5.20|5.25|4.77|4.84|2494000|5.12|||
18MAR2021|GATI|0827|Gatron	Ind.|0|0|0|501.67|0|500|||
18MAR2021|IBFL|0827|Ibrahim	Fibres|114|118.50|113|116.75|35500|115.52|||
18MAR2021|PSYL|0827|Pak	Synthetics|22|22|22|22|500|21.51|||
18MAR2021|TRPOL|0827|Tri-Star	Poly|13.30|14|13.25|13.99|5323500|13|||
18MAR2021|THALL|0802|Thal	LimitedXD|412|414.99|399.90|400.53|30200|417.06|||
18MAR2021|ASTL-MAR|40|ASTL-MAR|43.50|45|41.56|42.72|615000|43.75|||
18MAR2021|GTYR-MAR|40|GTYR-MAR|91.51|91.53|88.33|89.30|59000|92.01|||
18MAR2021|GHNI-MAR|40|GHNI-MAR|271|272|250.02|252.40|672000|269.42|||
18MAR2021|PSMC-MAR|40|PSMC-MAR|270.32|273.98|259|263.21|145500|271.50|||
18MAR2021|GHNL-MAR|40|GHNL-MAR|109.65|109.65|101|102.84|565500|108.85|||
18MAR2021|AVN-MAR|40|AVN-MAR|96.99|97|88.37|89.72|2950000|95.53|||
18MAR2021|AABS|0826|AL-Abbas	Sugar|340|345|340|345|800|336|||
18MAR2021|AGSML|0826|Abdullah	Shah|7.35|8.13|7.31|7.45|567000|7.23|||
18MAR2021|CHAS|0826|Chashma	SugarXD|80.80|80.80|78|78.63|26000|75.32|||
18MAR2021|IML|0813|Imperial	Limite|28.50|28.50|28|28.01|30000|29|||
18MAR2021|CCM|0830|Crescent	Cotton|44.49|47|44.49|47|1000|48.09|||
18MAR2021|DWSM|0826|Dewan	Sugar|2.88|2.88|2.60|2.61|10500|2.95|||
18MAR2021|FCEPL|0810|Frieslandcampina|76.82|76.82|74.10|74.29|111500|76.27|||
18MAR2021|FRSM|0826|Faran	Sugar|37.95|37.98|36.50|36.50|5000|36.25|||
18MAR2021|HABSM|0826|Habib	Sugar|32.10|32.20|32.10|32.11|3500|32.10|||
18MAR2021|HRPL|0826|Habib	Rice	Prod|33|33|33|33|500|33.49|||
18MAR2021|HSM|0826|Husein	Sugar|23.23|23.55|20.34|22.08|349000|21.91|||
18MAR2021|JDWS|0826|J.D.W.Sugar|230|230|230|229.60|100|229.60|||
18MAR2021|KPUS|0826|Khairpur	Sugar|50.11|52|50.11|50.11|3500|54.17|||
18MAR2021|JSML|0826|Jauharabad	Sug|21.50|22.68|21.50|22.68|1000|22.70|||
18MAR2021|MRNS|0826|Mehran	SugarXB|54.50|54.50|54.50|54.50|500|55.11|||
18MAR2021|SKRS|0826|Sakrand	Sugar|8.56|8.95|8.31|8.36|148000|8.61|||
18MAR2021|SANSM|0826|Sanghar	Sugar|19|19|19|19|500|19.70|||
18MAR2021|SHSML|0826|Shahmurad	Sugar|88|88|86.75|86.75|2800|88|||
18MAR2021|SML|0826|Shakarganj	Limited|32|33.86|32|33.86|22000|31.50|||
18MAR2021|TSML|0826|Tandlianwala	Sugar|209.80|209.80|180.54|194.99|900|195.17|||
18MAR2021|ACPL|0804|Attock	Cement|165|167|163|163.14|41900|166.43|||
18MAR2021|BWCL|0804|Bestway	CementXD|163|165.99|162|162.08|36100|162.80|||
18MAR2021|CHCC|0804|Cherat	CementXD|171.50|173.60|163.80|166.37|1071300|171.50|||
18MAR2021|DNCC|0804|Dandot	Cement|10.50|10.50|10.50|10.50|500|9.50|||
18MAR2021|DGKC|0804|D.G.K.Cement|127.50|128.40|121.11|124.25|2952116|126.88|||
18MAR2021|POWER|0804|Power	Cement|9.50|9.84|9.30|9.39|6798000|9.53|||
18MAR2021|POWERPS|0804|Power	Cem(Pref)|11.69|11.69|11.51|11.51|10000|11.60|||
18MAR2021|FCCL|0804|Fauji	Cement|23.30|23.35|22.76|22.98|7398000|23.05|||
